gene,gene_description
AC006967.3,novel transcript
DANCR,differentiation antagonizing non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:28964]
6-Sep,septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]
ZC3H15,zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]
MINDY2,MINDY lysine 48 deubiquitinase 2 [Source:HGNC Symbol;Acc:HGNC:26954]
TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]
PCDH9,protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]
TMEM87B,transmembrane protein 87B [Source:HGNC Symbol;Acc:HGNC:25913]
EIF4G1,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]
CTSD,cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]
AC006581.2,"novel transcript, antisense to PHC1 and A2ML1"
NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
TOR1A,torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]
PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]
ARHGAP44,Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]
DNASE1,deoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:2956]
GPR82,G protein-coupled receptor 82 [Source:HGNC Symbol;Acc:HGNC:4533]
SCAMP3,secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]
AL031600.1,"novel transcript, antisense to CLCN7"
PLEKHG4,pleckstrin homology and RhoGEF domain containing G4 [Source:HGNC Symbol;Acc:HGNC:24501]
NFKBIZ,NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]
VAPA,VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
LINC01010,long intergenic non-protein coding RNA 1010 [Source:HGNC Symbol;Acc:HGNC:48978]
HDGFL2,HDGF like 2 [Source:HGNC Symbol;Acc:HGNC:14680]
MYO9B,myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]
ARNT2,aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]
SETDB2,SET domain bifurcated 2 [Source:HGNC Symbol;Acc:HGNC:20263]
TLE1,transducin like enhancer of split 1 [Source:HGNC Symbol;Acc:HGNC:11837]
BROX,BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]
MPDZ,multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]
SPIDR,scaffold protein involved in DNA repair [Source:HGNC Symbol;Acc:HGNC:28971]
SNX7,sorting nexin 7 [Source:HGNC Symbol;Acc:HGNC:14971]
ZBTB1,zinc finger and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20259]
THOP1,thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]
GTF3C6,general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]
FTH1P2,ferritin heavy chain 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3989]
MID1,midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]
TNNT3,"troponin T3, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11950]"
TMEM203,transmembrane protein 203 [Source:HGNC Symbol;Acc:HGNC:28217]
ARPC2,actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]
SNRPD1,small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]
B3GLCT,beta 3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20207]
PDCD2,programmed cell death 2 [Source:HGNC Symbol;Acc:HGNC:8762]
CTNNBIP1,catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]
WDR36,WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]
RABL3,"RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]"
NR3C1,nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]
TRIM58,tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]
FABP5,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]
VPS26B,"VPS26, retromer complex component B [Source:HGNC Symbol;Acc:HGNC:28119]"
SRSF2,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
ARRB2,arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]
MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]
AC010980.1,uncharacterized LOC440934 [Source:NCBI gene;Acc:440934]
NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26274]"
SEC61A1,Sec61 translocon alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:18276]
MGAM2,maltase-glucoamylase 2 (putative) [Source:HGNC Symbol;Acc:HGNC:28101]
UBE2D3,ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]
DENND6B,DENN domain containing 6B [Source:HGNC Symbol;Acc:HGNC:32690]
DYNLT1,dynein light chain Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]
CAMK2D,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]
RCN1,reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]
PRKCE,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]
SRXN1,sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]
CHM,"CHM, Rab escort protein 1 [Source:HGNC Symbol;Acc:HGNC:1940]"
SRPK1,SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]
AL583856.1,spermine synthase (SMS) pseudogene
DISC1,DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]
AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
SMG5,"SMG5, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]"
EPB41L5,erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]
CCL2,C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]
SPTBN2,"spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]"
ZNF281,zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]
ZER1,zyg-11 related cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:30960]
LY96,lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]
CSRNP1,cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]
NCBP2,nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]
GNB1L,G protein subunit beta 1 like [Source:HGNC Symbol;Acc:HGNC:4397]
AL354714.2,spermine synthase (SMS) pseudogene
MFSD4B,major facilitator superfamily domain containing 4B [Source:HGNC Symbol;Acc:HGNC:21053]
CD1D,CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]
SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
DUS1L,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
AC018755.4,"novel transcript, sense intronic to AC018755.18"
NT5DC2,5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]
PRR7,"proline rich 7, synaptic [Source:HGNC Symbol;Acc:HGNC:28130]"
REM2,RRAD and GEM like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:20248]
GSKIP,GSK3B interacting protein [Source:HGNC Symbol;Acc:HGNC:20343]
TSR1,"TSR1, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25542]"
UBA3,ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]
EXTL3,exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]
EIF4A2,eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]
GRK2,G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]
AC073335.2,novel transcript
TMEM184B,transmembrane protein 184B [Source:HGNC Symbol;Acc:HGNC:1310]
ZBTB37,zinc finger and BTB domain containing 37 [Source:HGNC Symbol;Acc:HGNC:28365]
SLC22A4,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]
POLD3,"DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]"
OXR1,oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]
PRKCZ,protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
KDELC2,KDEL motif containing 2 [Source:HGNC Symbol;Acc:HGNC:28496]
GOSR2,golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]
LINC02035,long intergenic non-protein coding RNA 2035 [Source:HGNC Symbol;Acc:HGNC:52875]
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]
SDCCAG8,serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:HGNC:10671]
DHRS7,dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]
ZBED3,zinc finger BED-type containing 3 [Source:HGNC Symbol;Acc:HGNC:20711]
SQLE,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
MRPS15,mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]
LUZP1,leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]
AFDN,"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]"
RBM28,RNA binding motif protein 28 [Source:HGNC Symbol;Acc:HGNC:21863]
C12orf4,chromosome 12 open reading frame 4 [Source:HGNC Symbol;Acc:HGNC:1184]
GEMIN5,gem nuclear organelle associated protein 5 [Source:HGNC Symbol;Acc:HGNC:20043]
VPS35,"VPS35, retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]"
PSRC1,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
AP3M2,adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]
TRAPPC3,trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]
ATP9A,ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]
ZNF672,zinc finger protein 672 [Source:HGNC Symbol;Acc:HGNC:26179]
ISG20,interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]
OTUD4,OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
MAVS,mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]
TMEM14A,transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076]
RPL31,ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]
DST,dystonin [Source:HGNC Symbol;Acc:HGNC:1090]
NONO,non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]
IGFBP2,insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]
RF00019,
GIT2,GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273]
GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:HGNC Symbol;Acc:HGNC:29670]
BRIX1,"BRX1, biogenesis of ribosomes [Source:HGNC Symbol;Acc:HGNC:24170]"
WWOX,WW domain containing oxidoreductase [Source:HGNC Symbol;Acc:HGNC:12799]
BBS2,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]
MYO1B,myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]
NAP1L4,nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]
SNHG5,small nucleolar RNA host gene 5 [Source:HGNC Symbol;Acc:HGNC:21026]
ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]
TESK2,testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]
CASS4,Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]
ADRM1,adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]
SRFBP1,serum response factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26333]
EMP2,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]
FDXR,ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]
EYA4,EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]
KLC4,kinesin light chain 4 [Source:HGNC Symbol;Acc:HGNC:21624]
C11orf45,chromosome 11 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:28584]
ANO5,anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]
SLC27A2,solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]
DHDDS,dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603]
STAT1,signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]
ABCB10,ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]
NAT9,N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]
CLUH,clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]
ARGLU1,arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:25482]
THAP12,THAP domain containing 12 [Source:HGNC Symbol;Acc:HGNC:9440]
CBX7,chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]
ASB8,ankyrin repeat and SOCS box containing 8 [Source:HGNC Symbol;Acc:HGNC:17183]
ZNF264,zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]
SMO,"smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]"
C21orf91,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]
AHNAK,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]
LRRC45,leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]
ZBTB25,zinc finger and BTB domain containing 25 [Source:HGNC Symbol;Acc:HGNC:13112]
GALNT13,polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]
KLRG1,killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]
DYNC2H1,dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]
FH,fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]
SS18,"SS18, nBAF chromatin remodeling complex subunit [Source:HGNC Symbol;Acc:HGNC:11340]"
RNASET2,ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]
GMIP,GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]
STK17B,serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]
MORC4,MORC family CW-type zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:23485]
SNHG12,small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]
RPS14,ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]
ATP5MD,ATP synthase membrane subunit DAPIT [Source:HGNC Symbol;Acc:HGNC:30889]
POLR2H,RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]
SLC22A18,solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
HCG20,HLA complex group 20 [Source:HGNC Symbol;Acc:HGNC:31334]
RNASE6,ribonuclease A family member k6 [Source:HGNC Symbol;Acc:HGNC:10048]
CDCA7L,cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]
CLN6,"CLN6, transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]"
RAP2C,"RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]"
RPS19BP1,ribosomal protein S19 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28749]
TTLL3,tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]
WDR74,WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]
YIPF4,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]
MESD,mesoderm development LRP chaperone [Source:HGNC Symbol;Acc:HGNC:13520]
KBTBD6,kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340]
ZDHHC7,zinc finger DHHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:18459]
ALDH7A1,aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]
ALOX15,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
PDIA3,protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]
OSBPL6,oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]
OSTC,oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]
KIF3B,kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]
KCNK17,potassium two pore domain channel subfamily K member 17 [Source:HGNC Symbol;Acc:HGNC:14465]
FAM84B,family with sequence similarity 84 member B [Source:HGNC Symbol;Acc:HGNC:24166]
NCF4,neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]
SGPL1,sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:HGNC:10817]
BTBD6P1,BTB domain containing 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51542]
MRPS35,mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
GAR1,GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]
ERLIN1,ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]
CD1A,CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]
AZIN1,antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]
ATRX,"ATRX, chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]"
MLEC,malectin [Source:HGNC Symbol;Acc:HGNC:28973]
DNAJB12,DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]
FBXO3,F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]
PLCXD2,phosphatidylinositol specific phospholipase C X domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26462]
RFK,riboflavin kinase [Source:HGNC Symbol;Acc:HGNC:30324]
HLA-F,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]"
TRMT61A,tRNA methyltransferase 61A [Source:HGNC Symbol;Acc:HGNC:23790]
B4GALT3,"beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]"
STMN1,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]
PRMT1,protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]
UBE2J1,ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]
PSPC1,paraspeckle component 1 [Source:HGNC Symbol;Acc:HGNC:20320]
NHLRC2,NHL repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:24731]
RAB10,"RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]"
RILPL2,Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]
HIPK3,homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
ZFP36L2,ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]
LINC01127,long intergenic non-protein coding RNA 1127 [Source:HGNC Symbol;Acc:HGNC:49292]
MGST1,microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]
CLGN,calmegin [Source:HGNC Symbol;Acc:HGNC:2060]
BCL9,B cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:HGNC:1008]
ARHGAP21,Rho GTPase activating protein 21 [Source:HGNC Symbol;Acc:HGNC:23725]
EPHA3,EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]
GRHPR,glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]
GABPB1-IT1,GABPB1 intronic transcript [Source:HGNC Symbol;Acc:HGNC:25469]
COMT,catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]
ZNF503,zinc finger protein 503 [Source:HGNC Symbol;Acc:HGNC:23589]
STIP1,stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]
ZNF706,zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992]
PTPRC,"protein tyrosine phosphatase, receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]"
CPLANE1,ciliogenesis and planar polarity effector 1 [Source:HGNC Symbol;Acc:HGNC:25801]
CEP170,centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]
ZDHHC12,zinc finger DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159]
TPT1-AS1,TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686]
RNF223,ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]
TMEM65,transmembrane protein 65 [Source:HGNC Symbol;Acc:HGNC:25203]
SIKE1,suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]
HCAR1,hydroxycarboxylic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4532]
SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
ZNF843,zinc finger protein 843 [Source:HGNC Symbol;Acc:HGNC:28710]
DPH5,diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]
CDC7,cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]
HSD17B1P1,hydroxysteroid 17-beta dehydrogenase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5216]
YOD1,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]
RCSD1,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
FAM171A1,family with sequence similarity 171 member A1 [Source:HGNC Symbol;Acc:HGNC:23522]
RAI14,retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]
SLC35F1,solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]
HSP90B1,heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]
DNMBP,dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]
ZFP36L1,ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]
ATP8B2,ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534]
GNAQ,G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]
RNF165,ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696]
KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]
DTNA,dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]
RNF187,ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146]
SOX11,SRY-box 11 [Source:HGNC Symbol;Acc:HGNC:11191]
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]"
FAM131B,family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]
VAMP2,vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]
LUC7L,LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]
NKX2-5,NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]
RNH1,ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]
TMEM246,transmembrane protein 246 [Source:HGNC Symbol;Acc:HGNC:28180]
TRG-AS1,T cell receptor gamma locus antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48974]
BEX4,brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]
DICER1,"dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]"
TST,thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]
ADAT2,"adenosine deaminase, tRNA specific 2 [Source:HGNC Symbol;Acc:HGNC:21172]"
DOK7,docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594]
MRPS7,mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:14499]
TFAP4,transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]
STS,steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]
LYL1,"LYL1, basic helix-loop-helix family member [Source:HGNC Symbol;Acc:HGNC:6734]"
EPN2,epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]
MCU,mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526]
COPA,coatomer protein complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]
SPACA9,sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367]
ATF7IP,activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]
UNC119,unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]
LOXL3,lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869]
SNRPB2,small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]
REX1BD,required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]
ELANE,"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]"
MSL2,MSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25544]
YARS,tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840]
H2AFY,H2A histone family member Y [Source:HGNC Symbol;Acc:HGNC:4740]
MMADHC,"methylmalonic aciduria and homocystinuria, cblD type [Source:HGNC Symbol;Acc:HGNC:25221]"
OGFOD1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]
NCOR1,nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]
ABCB7,ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]
PLCG2,phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
H2AFV,H2A histone family member V [Source:HGNC Symbol;Acc:HGNC:20664]
HACD3,3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]
AL121899.1,uncharacterized LOC388780 [Source:NCBI gene;Acc:388780]
USP21,ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:HGNC:12620]
NR6A1,nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]
